GeoFips,State Name,GeoCode,stayathome_start,statewide_stayathome_end,DaysInLockdown
1,Alabama,AL,4/4/2020,4/30/2020,26
2,Alaska,AK,3/28/2020,4/24/2020,27
4,Arizona,AZ,3/31/2020,5/15/2020,45
5,Arkansas,AR,1/1/1900,1/1/1900,0
6,California,CA,3/19/2020,1/25/2021,312
8,Colorado,CO,3/26/2020,5/9/2020,44
9,Connecticut,CT,3/23/2020,5/20/2020,58
10,Delaware,DE,3/24/2020,5/31/2020,68
11,District Of Columbia,DC,4/1/2020,5/29/2020,58
12,Florida,FL,4/3/2020,5/18/2020,45
13,Georgia,GA,4/3/2020,4/30/2020,27
15,Hawaii,HI,3/25/2020,5/31/2020,67
16,Idaho,ID,3/25/2020,4/30/2020,36
17,Illinois,IL,3/21/2020,5/29/2020,69
18,Indiana,IN,3/24/2020,5/18/2020,55
19,Iowa,IA,1/1/1900,1/1/1900,0
20,Kansas,KS,3/30/2020,5/22/2020,53
21,Kentucky,KY,3/26/2020,5/11/2020,46
22,Louisiana,LA,3/23/2020,5/16/2020,54
23,Maine,ME,4/2/2020,5/31/2020,59
24,Maryland,MD,3/30/2020,6/1/2020,63
25,Massachusetts,MA,3/24/2020,5/18/2020,55
26,Michigan,MI,3/24/2020,6/1/2020,69
27,Minnesota,MN,3/27/2020,5/17/2020,51
28,Mississippi,MS,4/3/2020,4/27/2020,24
29,Missouri,MO,4/6/2020,5/18/2020,42
30,Montana,MT,3/28/2020,4/26/2020,29
31,Nebraska,NE,1/1/1900,1/1/1900,0
32,Nevada,NV,4/1/2020,5/9/2020,38
33,New Hampshire,NH,3/27/2020,6/15/2020,80
34,New Jersey,NJ,3/21/2020,6/9/2020,80
35,New Mexico,NM,3/24/2020,5/31/2020,68
36,New York,NY,3/22/2020,5/28/2020,67
37,North Carolina,NC,3/30/2020,5/22/2020,53
38,North Dakota,ND,1/0/1900,1/0/1900,0
39,Ohio,OH,3/23/2020,5/29/2020,67
40,Oklahoma,OK,3/24/2020,5/6/2020,43
41,Oregon,OR,3/23/2020,7/6/2020,105
42,Pennsylvania,PA,4/1/2020,6/5/2020,65
44,Rhode Island,RI,3/28/2020,5/8/2020,41
45,South Carolina,SC,4/7/2020,5/4/2020,27
46,South Dakota,SD,1/1/1900,1/1/1900,0
47,Tennessee,TN,3/31/2020,5/11/2020,41
48,Texas,TX,4/2/2020,4/30/2020,28
49,Utah,UT,3/27/2020,5/1/2020,35
50,Vermont,VT,3/25/2020,5/15/2020,51
51,Virginia,VA,3/30/2020,6/10/2020,72
53,Washington,WA,3/23/2020,5/31/2020,69
54,West Virginia,WV,3/24/2020,5/3/2020,40
55,Wisconsin,WI,3/25/2020,5/26/2020,62
56,Wyoming,WY,1/1/1900,1/1/1900,0
